d,n,omega,seed,row_index,eta_col_sum_excl,delta_E1,abs_r_l,drop_E1
4,48,1.0,1,8,47.85525210828795,-1.0423205561181135,0.374509517611898,1.0423205561181135
4,48,1.0,1,31,41.463807282547364,0.1590238819171148,0.805587008056436,-0.1590238819171148
4,48,1.0,1,18,43.626800628334756,-0.904846668831695,0.5058591424023029,0.904846668831695
4,48,1.0,1,41,43.75321403292642,-2.579920129446613,0.5912912256840217,2.579920129446613
4,48,1.0,1,42,40.051990953631226,0.32440773861829086,1.0515515982205494,-0.32440773861829086
4,48,1.0,1,40,42.009495131303595,-1.569961748566655,1.0183940106198812,1.569961748566655
4,48,1.0,1,0,45.68184198688338,0.2975071179570392,2.267405096732947,-0.2975071179570392
4,48,1.0,1,42,40.051990953631226,0.32440773861829086,1.0515515982205494,-0.32440773861829086
4,48,1.0,1,8,47.85525210828795,-1.0423205561181135,0.374509517611898,1.0423205561181135
4,48,1.0,1,12,35.47733114354502,1.0974848920360074,0.4063924633548419,-1.0974848920360074
4,48,1.0,1,6,42.07157395269279,-0.16061248274606754,0.5124416169288919,0.16061248274606754
4,48,1.0,1,43,52.14137580151352,1.3927987511312594,0.6522956986522557,-1.3927987511312594
4,48,1.0,1,47,56.94333943355358,1.2768815895002774,0.7486449508777193,-1.2768815895002774
4,48,1.0,1,11,51.82462227461416,0.18773884242216354,0.13829149639387794,-0.18773884242216354
4,48,1.0,2,10,51.18319788566875,-0.15774075132326004,0.5070815407589011,0.15774075132326004
4,48,1.0,2,31,39.872969898393755,-0.8297983458004126,0.292665287459533,0.8297983458004126
4,48,1.0,2,6,44.22571375668012,-1.0665235133393764,0.9907630336295674,1.0665235133393764
4,48,1.0,2,11,43.82417452330757,0.7283905200198788,0.816017451691569,-0.7283905200198788
4,48,1.0,2,32,42.1843463764139,1.184316098395918,0.7947514052056395,-1.184316098395918
4,48,1.0,2,42,53.32089587153891,-3.0720799682989117,0.7205181752085288,3.0720799682989117
