d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,80,1.0,3,24,0.18660285765161533,0.18660285765161527,0.7233145071358291,15.025113820893495,5.551115123125783e-17
4,80,1.0,4,55,0.3733070716855051,0.3733070716855051,2.060535735518477,30.4668719770334,0.0
4,80,1.0,4,55,0.3733070716855051,0.3733070716855051,2.060535735518477,30.4668719770334,0.0
4,80,1.0,4,34,0.04364130291176006,0.043641302911760056,0.2726848372155466,39.0415060884781,6.938893903907228e-18
4,80,1.0,4,55,0.3733070716855051,0.3733070716855051,2.060535735518477,30.4668719770334,0.0
4,80,1.0,4,33,0.23358458992248587,0.2335845899224859,1.656801959080171,50.309826863135314,2.7755575615628914e-17
4,80,1.0,4,51,0.12909466574948214,0.12909466574948217,0.9249833208738383,51.33944962694076,2.7755575615628914e-17
4,80,1.0,4,34,0.04364130291176006,0.043641302911760056,0.2726848372155466,39.0415060884781,6.938893903907228e-18
4,80,1.0,4,11,0.06969265826915355,0.06969265826915352,0.4290866951994654,37.906705122625034,2.7755575615628914e-17
4,80,1.0,4,38,0.012362734348876747,0.012362734348876747,0.07089739456607225,32.88754659960437,0.0
4,80,1.0,4,56,0.23219080877619716,0.23219080877619716,1.557680250591062,45.00560235702946,0.0
4,80,1.0,4,54,0.16001153588974887,0.1600115358897489,0.7674642130949545,23.004546655766614,2.7755575615628914e-17
4,80,1.0,4,39,0.22657306118160053,0.22657306118160053,1.2648689563594744,31.16553043415109,0.0
4,80,1.0,4,42,0.40621531747105855,0.4062153174710586,1.7273920611166165,18.0829485776853,5.551115123125783e-17
4,80,1.0,4,58,0.2524628983165089,0.2524628983165089,1.4314512037198797,32.148296772839046,0.0
4,80,1.0,4,40,0.039786591572347436,0.03978659157234745,0.2631256356944971,43.73738900893824,1.3877787807814457e-17
4,80,1.0,4,18,0.15418538310632277,0.15418538310632277,0.8648239501724198,31.460745405835958,0.0
4,80,1.0,4,2,0.194612292493726,0.194612292493726,0.9871751199066894,25.7304786461256,0.0
4,80,1.0,4,30,0.07367581360896065,0.07367581360896065,0.37056953118779035,25.298194960289322,0.0
4,80,1.0,4,61,0.12399817599647263,0.12399817599647261,0.6813140563960967,30.190068932552883,1.3877787807814457e-17
4,80,1.0,4,10,0.07625016051463487,0.07625016051463489,0.45346111283882995,35.36702866970394,1.3877787807814457e-17
4,80,1.0,5,1,0.06952615145868016,0.06952615145868019,0.35679305917942594,26.33518746901448,2.7755575615628914e-17
4,80,1.0,5,47,0.09651885355813355,0.09651885355813357,0.374329374374919,15.041235370394695,1.3877787807814457e-17
4,80,1.0,5,66,0.19603508468626163,0.19603508468626166,1.1469045559172177,34.2284274246362,2.7755575615628914e-17
4,80,1.0,5,9,0.29541228525785035,0.29541228525785035,1.7142196077146963,33.67253493701013,0.0
4,80,1.0,5,68,0.04032386952860901,0.040323869528609,0.21509267487580974,28.45291976233039,6.938893903907228e-18
4,80,1.0,5,35,0.06230992286606307,0.06230992286606307,0.41189509635338384,43.697723877201966,0.0
4,80,1.0,5,76,0.0015539881481884193,0.0015539881481884672,0.010305538351334853,43.97906208428619,4.7921736023859296e-17
4,80,1.0,5,19,0.2025326094625129,0.2025326094625129,0.9438034730809908,21.715669623543015,0.0
4,80,1.0,5,40,0.07177820234200576,0.07177820234200578,0.3922123117952525,29.85776461050379,2.7755575615628914e-17
4,80,1.0,5,19,0.2025326094625129,0.2025326094625129,0.9438034730809908,21.715669623543015,0.0
4,80,1.0,5,43,0.04278074290144749,0.042780742901447455,0.21826732702400475,26.03039845225474,3.469446951953614e-17
4,80,1.0,5,79,0.2026263284452558,0.2026263284452558,0.9795340296338799,23.369386224762412,0.0
4,80,1.0,5,32,0.04538919436471974,0.045389194364719734,0.24265422914181567,28.580563105676966,6.938893903907228e-18
4,80,1.0,5,61,0.006078486320864217,0.006078486320864228,0.04004662499226663,43.40511932810011,1.0408340855860843e-17
4,80,1.0,5,30,0.1384967399171404,0.13849673991714032,0.6978748039126055,25.390773794811608,8.326672684688674e-17
4,80,1.0,5,20,0.05397331173911277,0.05397331173911278,0.3115986527063219,33.329823131142504,1.3877787807814457e-17
